희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
"기술매매,라이센스,기술협력,M&A",배터리 충전상태 확인 및 관리 효율 극대화,00000007818,컨설팅완료,3개월이내,"배터리의 SOC(state of charge)를 추정하기 위한 제1 추정모드 또는 제2 추정모드를 결정하는 제어부; 결정된 상기 제1 추정모드 또는 제2 추정모드에 따라 기 측정된 상기 배터리의 전압, 전류, 온도를 기반으로 배터리의 SOC를 추정하는 SOC 추정부; 및 상기 배터리의 내외부 요인에 따라 추정된 상기 배터리의 SOC를 보정하는 SOC 보정부를 포함하여, 이를 통해 배터리의 충전상태를 효과적으로 추정하고, 정확한 배터리 충전상태의 추정이 가능하였으면 함","배터리,SOC,충전상태,전압,관리시스템",협의후 결정,신제품 개발,협의에 의함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력","납, 비소 제거용 수처리 소재",00000007819,컨설팅완료,6개월이내,"납, 비소 제거용 수처리 소재","납,비소,제거,수처리,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",목재 생산 관련 자동화 기술,00000007820,컨설팅완료,6개월이내,목재 생산 관련 자동화 기술,"목재,자동화,,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",빅데이터 및 머신러닝 관련 기술,00000007821,컨설팅완료,6개월이내,빅데이터 및 머신러닝 관련 기술,"빅데이터,머신러닝,,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",컨베이어에 IoT를 적용할 수 있는 기술,00000007822,컨설팅완료,6개월이내,컨베이어에 IoT를 적용할 수 있는 기술,"컨베이어,IoT,,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",조미김 생산 관련 보존기간 연장 및 제조공정 기술,00000007823,컨설팅완료,6개월이내,조미김 생산 관련 보존기간 연장 및 제조공정 기술,"조미김,김,보존기간,연장,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",제빵 숙성 및 설비 기술,00000007824,컨설팅완료,6개월이내,제빵 숙성 및 설비 기술,"제빵,숙성,,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",장애인 관련 보행이나 움직임의 불편함을 해소할 수 있는 보조기기,00000007825,컨설팅완료,6개월이내,장애인 관련 보행이나 움직임의 불편함을 해소할 수 있는 보조기기,"장애인,보행,보조,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",IoT스킨측정기기 개발 및 뷰티플랫폼 앱 개발,00000007826,컨설팅완료,6개월이내,IoT스킨측정기기 개발 및 뷰티플랫폼 앱 개발,"IoT,스킨측정,뷰티,플랫폼,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력","디지털 알고리즘, 리눅수 오픈소스 SW, GUI 개발 기술",00000007827,컨설팅완료,6개월이내,"디지털 알고리즘, 리눅수 오픈소스 SW, GUI 개발 기술","알고리즘,리눅수,GUI,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력","테스터기 하드웨어, 소프트웨어, 시스템구성 기술",00000007828,컨설팅완료,6개월이내,"테스터기 하드웨어, 소프트웨어, 시스템구성 기술","테스터기,하드웨어,소프트웨어,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력",크롬프리 후처리 기술,00000007829,컨설팅완료,6개월이내,크롬프리 후처리 기술,"크롬,후처리,도금,,",협의후 결정,신제품개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,인천,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",자율주행 자동차 및 자동차튜닝기술,00000007830,컨설팅완료,12개월이내,울산TP 이동엽 주임 지정 요청,"자율주행,자동차,튜닝,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,"선박제조기술, 프로펠러제조기술",00000007831,컨설팅완료,12개월이내,울산TP 이동엽 주임 지정,"선박 ,조선,프로펠러,제조,",협의후 결정,신공정 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,그물망에 이미지나 글이 명확히 보일 수 있는 인쇄 기술,00000007832,컨설팅완료,12개월이내,울산TP 이동엽 주임 지정,"인쇄,,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",3D프린딩 및 3D스캐닝 기술,00000007833,컨설팅완료,12개월이내,울산TP 배소정 연구원 지정,"3D프린팅,스캐닝,,,",협의후 결정,시존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"라이센스,기술협력",화이버글라스를 대신 할 수 있는 판력있고 가늘며 저렴한 FRAME,00000007834,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"프레임,화이버글라스,저가,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,"REBAR COUPLER : 기계, 내진동 관련",00000007835,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"기계,내진동,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",접지케이블 기술,00000007836,컨설팅완료,12개월이내,울산tp 배소정 연구원 지정,"케이블,접지케이블,,,",협의후 결정,신공정 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",난연테이프 관련 화학기술,00000007837,컨설팅완료,12개월이내,울산tp 배소정 연구원 지정,"난연,난연테이프,화학기술,,",협의후 결정,신제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",특수목적용 산업분야에 적용이 가능한 3D프린터를 개발하기위한 기술.국방과학연구소의 플라즈마젯기술,00000007838,컨설팅완료,12개월이내,울산tp 김봉석 연구원 지정,"3D프린터,국방과학연구소,,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"라이센스,기술협력",무인 결제 시스템,00000007839,컨설팅완료,12개월이내,울산tp 김봉석 연구원 지정,"무인,결제시스템,,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,소프트웨어 제작 관련 기술,00000007840,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"소프트웨어 ,,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력","회전축기어,베어링",00000007841,컨설팅완료,12개월이내,울산tp 배소정 연구원 지정,"회전축,베어링,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,자동화 산업 기술,00000007842,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"자동화,,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력","동물용 의료기기, 인체용 의료기기, 자동 무침 주사기",00000007843,컨설팅완료,12개월이내,울산tp  김봉석 연구원 지정,"동물용 ,의료기기,자동무침주사기,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",신규 아이템 발굴 희망,00000007844,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"기계,엔지니어링,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",신규 아이템 발굴 희망,00000007845,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"생명과학,,,,",협의후 결정,신공정 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",모터제어 기술,00000007846,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"모터,제어기술,,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",구동 체크용 스마트 제어예압 응용 시스템,00000007847,컨설팅완료,12개월이내,울산tp 이동엽주임 지정,"스마트 ,제어예얍,시스템,프로그램,",협의후 결정,신공정 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력",정보 통신 기술,00000007848,컨설팅완료,12개월이내,울산tp 이도엽 주임 지정,"정보통신,통신,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력","브랜딩, 마케팅 관련 코칭",00000007849,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"마케팅,,,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",CCTV의 운용 장치 개발 관련 기술,00000007850,기술이전계약,3개월이내,"안정성이 확인된 CCTV 제품 도입/운용 개별분야와 관련 디바이스를 개발 또는 연계활용 방안
 가드레일을따라 이동하는 CCTV의 운용 장치 및 그방법관련 기술","CCTV,운용,장치,가드레일,디바이스",선문대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),5000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력","딥러닝, 머신러닝 기술",00000007851,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"딥러닝,머신러닝,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"라이센스,기술협력",화학물질 폐기처리 기술,00000007852,컨설팅완료,12개월이내,울산tp 이동엽주임 지정,"화학,화학물질,폐기처리,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,"VR가상현실, AR증강현실 기술",00000007853,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"VR,AR,증강현실,가상현실,",협의후 결정,기술 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,천막장치,00000007854,기술이전계약,12개월이내,울산tp 김봉석 연구원 지정,"천막,,,,",정미라,제품 업그레이드,추후협의,협의후 결정,기술양도(매매),10000000,협의후 결정,0,울산,2026-07-10,4
라이센스,신규 아이템 발굴 희망,00000007855,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"프로그램,소프트웨어,컴퓨터,데이터,",협의후 결정,시제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
기술협력,신규 아이템 발굴희망,00000007856,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"리깅,,,,",협의후 결정,기존제품 추가 연구,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,정보 통신 기술,00000007857,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"정보,정보통신,,,",협의후 결정,신제품 개발,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
"기술매매,라이센스",PLC제조 기술,00000007858,컨설팅완료,12개월이내,울산tp 이동엽 주임 지정,"PLC,,,,",협의후 결정,기존제품 업그레이드,추후협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,울산,2026-07-10,3
라이센스,1. 성장촉진 조성물  2. 비만억제 조성물,00000007859,컨설팅매칭,즉시,"1. 성장 조성물
- 성장기 적절한 영양섭취가 되지 않으면 성장이 이루어지지 않기 때문에 키 성장에 도움을 주는 유효성분을 함유한 
    천연물 및 식품조성물을 활용하여 IGF-1(인슐린유사성장인자), 성장호르몬 분비를 활성화시켜 키 성장 촉진
- 조성물을 활용한 기능성 식품 제조
2. 비만억제 조성물
- 서구화된 식생활로 인해 고열량, 고지방 식단, 운동부족 등으로 인해 비만인구가 증가하고 있으므로
   비만억제에 도움을 주는 유효성분을 함유한 천연물 및 식품조성물을 활용하여 지방세포분해, 내장지방감소,  
   체지방 감소(체중 감소)
- 조성물을 활용한 기능성 식품 제조","키 성장,IGF-1, 성장호,비만억제,지방세포분해,체지방감소",협의후 결정,신제품 개발,기술이전(특허권)을 우선적으로 희망함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",무인항공기(드론)를 이용한 가공 송전선로 감시 기술,00000007860,컨설팅매칭,12개월이내,무인항공기(드론)를 이용한 가공 송전선로 감시 기술,"무인항공기,드론,가공송전선,감시기술,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,00000007861,컨설팅매칭,12개월이내,부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,"부하관리,무정전 전력공급,ESS시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",전기 자동차용 다중 무선 충전 시스템,00000007862,컨설팅매칭,12개월이내,전기 자동차용 다중 무선 충전 시스템,"전기자동차,다중 무선,충전시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",산성가스 분리용 흡수제,00000007863,컨설팅매칭,12개월이내,산성가스 분리용 흡수제,"산성가스 ,분리용 흡수제,,,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,00000007864,컨설팅매칭,12개월이내,부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,"부하관리 ,무정전 전력공급,ESS시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,기술협력,기술지도,M&A",LED 활용 식물재배 기술,00000007865,컨설팅완료,6개월이내,"1. 새싹삼 재배를 위한 태양광 조도 제어를 통한 LED 식물재배 기술
2. 식물재배를 위해 필요한 광출력을 제어할 수 있는 기술적 노하를 원함","LED,식물재배,광도,조도,광출력",협의후 결정,신제품 개발,협의에 의함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,00000007866,컨설팅매칭,12개월이내,부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,"부하관리,무정전 전력공급,ESS시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,00000007867,컨설팅매칭,12개월이내,부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,"부하관리 시스템,무정전 전력공급,ESS시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",산성가스 분리용 흡수제,00000007868,컨설팅매칭,12개월이내,산성가스 분리용 흡수제,"산성가스 ,분리용 흡수제,,,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",전기 자동차용 다중 무선 충전 시스템 등,00000007869,컨설팅매칭,12개월이내,전기 자동차용 다중 무선 충전 시스템/전기차 에너지자원화를 위한 멀티 충방전 시스템 기술/무인항공기(드론)를 이용한 가공 송전선로 감시 기술/주택 등 콘센트를 사용하는 전기시설물의 안전점검 키트,"전기차,무선충전시스템,무인항공기,송전선감시기술,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",전기차 에너지자원화를 위한 멀티 충방전 시스템 기술 등,00000007870,컨설팅매칭,12개월이내,전기차 에너지자원화를 위한 멀티 충방전 시스템 기술/마이크로그리드 고장처리 장치 및 그 방법/전기 자동차용 다중 무선 충전 시스템/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템/무인항공기(드론)를 이용한 가공 송전선로 감시 기술/주택 등 콘센트를 사용하는 전기시설물의 안전점검 키트,"전기차,멀티 충방전시스템,마이크로그리드,무선충전시스템,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템 등,00000007871,컨설팅매칭,12개월이내,부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템/HVDC 전력케이블 부분방전 측정장치 및 방법,"부하관리,무정전 전력공급 ,ESS 시스템,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",우분과 발효톱밥의 혼합 기술,00000007872,컨설팅완료,6개월이내,"- 우분과 발효톱밥 및 곤충 분변토를 활용하여 미생물 비료를 개발하려함
- 하지만, 우분이 너무질고 왕겨가 아닌 지푸라기가 있어 섞기 힘들고, 정확한 수분 측정이 어려움
- 이에, 전반적인 퇴비 및 비료 사업에 관한 자료 및 관련 기술 노하우를 전수받고자 함","우분,발효톱밥,분변토,미생물,비료",협의후 결정,신제품 개발,협의에 의함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법 등,00000007873,컨설팅매칭,12개월이내,배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템/무인항공기(드론)를 이용한 가공 송전선로 감시 기술/지중케이블 고장점 탐지 시스템/HVDC 전력케이블 부분방전 측정장치 및 방법/추가 구조변경 없는 개폐기 제조 및 시공불량에 의한 발열 실시간 감시 방법과 장치,"마이트로그리드,에너지 저장장치,부하관리,ESS시스템,",협의후 결정,신제품개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스",자생식물의 향(에센셜 오일) 제조 기술,00000007874,수요기업만족도체크,3개월이내,자생식물의 향을 이용하여 화장품을 포함한 에센셜 오일 천연비누 제조,"자생식물,향,오일,천연비누,화장품",전라남도농업기술원,기존 사업화 분야 역량강화,추후 지티티비와 협의할 예정,협의후 결정,통상실시권,5000000,협의후 결정,0,광주,2026-07-10,4
"기술매매,라이센스",육류대체소재를 활용한 죽 및 그 제조방법,00000007875,수요기업만족도체크,즉시,육류를 대신하는 대체소재를 활용하여 죽을 제조함으로써 채식주의자 또는 무슬림 등의 고기에 민감한 사람들도 섭취할 수 있는 육류대체소재를 활용한 죽 제조방법,"육류,대체소재,죽,,",전북미생물진흥원,기존 사업화 분야 역량강화,추후 지티티비와 협의할 예정,협의후 결정,통상실시권,500000,협의후 결정,0,광주,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",마이크로그리드 고장처리 장치 및 그 방법,00000007876,컨설팅매칭,12개월이내,마이크로그리드 고장처리 장치 및 그 방법/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템/무인항공기(드론)를 이용한 가공 송전선로 감시 기술 등,"마이크로그리드,부하관리,무정전 전력공급,ESS운영시스템,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법,00000007877,컨설팅매칭,12개월이내,배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템/주택 등 콘센트를 사용하는 전기시설물의 안전점검 키트 등,"배전계통,에너지저장장치,부하관리,무정전 전력공급,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법,00000007878,컨설팅매칭,12개월이내,배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법 / 부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템 /HVDC 전력케이블 부분방전 측정장치 및 방법 / 주택 등 콘센트를 사용하는 전기시설물의 안전점검 키트,"에너지저장장치,콘센트,안전점검 키트,HVDC전력케이블,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",전기 자동차용 다중 무선 충전 시스템,00000007879,컨설팅매칭,12개월이내,전기 자동차용 다중 무선 충전 시스템/마이크로그리드 고장처리 장치 및 그 방법/독립형 MG의 배터리용 전력변환장치/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템 등,"전기자동차,무선충전시스템,독립형MG,부하관리,",협의후 결정,신제품 개발,광주테크노파크와 협의후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",독립형 MG의 배터리용 전력변환장치,00000007880,컨설팅매칭,12개월이내,독립형 MG의 배터리용 전력변환장치 /마이크로그리드 고장처리 장치 및 그 방법/추가 구조변경 없는 개폐기 제조 및 시공불량에 의한 발열 실시간 감시 방법과 장치 등,"독립형 MG배터리,마이크로그리드,,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",전기차 에너지자원화를 위한 멀티 충방전 시스템 기술,00000007881,컨설팅매칭,12개월이내,전기차 에너지자원화를 위한 멀티 충방전 시스템 기술/마이크로그리드 고장처리 장치 및 그 방법/독립형 MG의 배터리용 전력변환장치 /배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법/부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템 등,"전기차,멀티충방전시스템,독립형MG배터리,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",지중케이블 고장점 탐지 시스템,00000007882,컨설팅매칭,12개월이내,무인항공기(드론)를 이용한 가공 송전선로 감시 기술/지중케이블 고장점 탐지 시스템 등,"지중케이블,탐지시스템,드론이용 감시기술,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",주택등 콘센트를 사용하는 전기시설물의 안전점검 키트,00000007883,컨설팅매칭,12개월이내,주택등 콘센트를 사용하는 전기시설물의 안전점검 키트 등 신기술,"콘센트,안전점검 키트,,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법 등,00000007884,컨설팅매칭,12개월이내,배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법/전기 자동차용 다중 무선 충전 시스템/전기차 에너지자원화를 위한 멀티 충방전 시스템 기술/독립형 MG의 배터리용 전력변환장치 /부하관리 및 무정전 전력공급 겸용 ESS 운영 시스템,"마이크로그리드,ESS운영장치,무선충전시스템,독립형MG 배터리,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",HVDC 전력케이블 부분방전 측정장치 및 방법 등,00000007885,컨설팅매칭,12개월이내,HVDC 전력케이블 부분방전 측정장치 및 방법/마이크로그리드 고장처리 장치 및 그 방법/배전계통 연계 마이크로그리드용 에너지저장장치에 대한 운영 장치 및 방법/무인항공기(드론)를 이용한 가공 송전선로 감시 기술/지중케이블 고장점 탐지 시스템/HVDC 전력케이블 부분방전 측정장치 및 방법,"HVDC전력케이블,마이크로그리드,드론이용감시기술,,",협의후 결정,신제품 개발,광주테크노파크와 협의 후 진행,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,광주,2026-07-10,3
